Date,Open,High,Low,Close,Volume
9/30/2022,97.73,99.49,96.03,96.15,"26,277,830"
9/29/2022,99.3,99.3,96.52,98.09,"21,921,520"
9/28/2022,98.02,101.4,97.8,100.74,"24,617,000"
9/27/2022,99.91,100.46,97.34,98.09,"24,224,990"
9/26/2022,98.61,100.44,98.38,98.81,"22,437,939"
9/23/2022,100.06,100.11,98.01,99.17,"25,656,961"
9/22/2022,99.45,101.68,99.41,100.57,"21,272,680"
9/21/2022,102.24,103.49,99.99,100.01,"26,596,760"
9/20/2022,102.88,103.17,101.12,101.83,"24,001,670"
9/19/2022,102.54,104.02,102.37,103.85,"19,738,600"
9/16/2022,102.97,104.03,101.86,103.63,"64,540,121"
9/15/2022,105.01,106.21,103.31,103.9,"26,494,930"
9/14/2022,105.44,106.1,104.5,105.87,"22,115,811"
9/13/2022,108.89,109.37,105,105.31,"33,014,988"
9/12/2022,111.99,112.64,110.93,111.87,"19,732,910"
9/9/2022,110.05,112,110,111.78,"21,745,029"
9/8/2022,109.18,110.58,108.06,109.42,"21,660,650"
9/7/2022,107.76,110.99,107.62,110.48,"22,987,180"
9/6/2022,108.14,108.88,106.51,107.48,"20,565,051"
9/2/2022,111.34,111.68,108.13,108.68,"20,618,080"
9/1/2022,109.2,111.22,108.19,110.55,"22,784,391"
8/31/2022,111.63,111.77,109.05,109.15,"25,897,980"
8/30/2022,111.03,111.37,108.8,109.91,"20,548,199"
8/29/2022,110.78,111.96,109.81,110.34,"20,386,141"
8/26/2022,115.81,116.6,111.22,111.3,"31,698,670"
8/25/2022,115.15,117.78,115.05,117.7,"14,874,670"
8/24/2022,114.45,115.72,113.78,114.7,"16,051,170"
8/23/2022,114.32,115.93,114.3,114.77,"14,390,690"
8/22/2022,116.1,116.5,114.67,115.07,"19,316,020"
8/19/2022,119.87,120,117.67,118.12,"20,186,980"
8/18/2022,120.23,121.69,119.55,120.86,"15,652,030"
8/17/2022,120.93,122.15,120.2,120.32,"17,589,160"
8/16/2022,122.32,123.23,121.54,122.51,"15,626,170"
8/15/2022,122.21,123.26,121.57,122.88,"15,524,950"
8/12/2022,121.16,122.65,120.4,122.65,"16,121,090"
8/11/2022,122.08,122.34,119.55,119.82,"16,671,631"
8/10/2022,119.59,121.78,119.36,120.65,"20,497,020"
8/9/2022,117.99,118.2,116.56,117.5,"15,424,260"
8/8/2022,119.12,120.86,117.83,118.14,"17,061,109"
8/5/2022,116.93,118.86,116.71,118.22,"15,615,660"
8/4/2022,118.3,119.5,117.71,118.87,"15,757,700"
8/3/2022,116.34,119.42,116.15,118.78,"25,302,820"
8/2/2022,114.43,117.08,114.26,115.9,"17,911,039"
8/1/2022,115.53,117.12,114.69,115.48,"22,856,199"
7/29/2022,113.4,116.9,113.23,116.64,"31,336,180"
7/28/2022,112.8,114.7,111.85,114.59,"23,303,840"
7/27/2022,109.6,114.4,108.42,113.6,"41,474,621"
7/26/2022,107.43,107.74,104.76,105.44,"36,626,633"
7/25/2022,108.88,110.58,107.01,108.21,"28,289,939"
7/22/2022,111.81,113.18,107.6,108.36,"44,455,301"
7/21/2022,115.09,115.21,111.91,115.04,"27,267,850"
7/20/2022,114.06,116.33,113.26,114.7,"26,780,090"
